id,label,name,description
0,Document,AM400 User Guide.pdf,Original instructions for AM250/AM400 Metal 3D Printer
1,Chunk,null,"Renishaw's AM250/AM400 laser melting systems document disclaims accuracy liability, outlines trademark ownership, specifies warranty conditions, and notes potential equipment changes and patent coverage."
2,Chunk,null,"Renishaw's AM250/AM400 comply with WEEE, EC, and FCC regulations; users must dispose of products properly and avoid unauthorized modifications."
3,Chunk,null,"Renishaw's AM400 system, for creating solid metal components via laser-melted powder, requires strict adherence to safety protocols and authorized training, as detailed in the manual and EC/FCC compliance sections."
4,Chunk,null,"Renishaw AM250/AM400 system includes powder bottles, conditioning tools, software, and optional items, with strict OEM part usage for warranty validity."
5,Chunk,null,"This document defines roles (company, supervisor, operator, technician), equipment terms, and abbreviations related to safety and operation in manufacturing."
6,Chunk,null,"This manual uses bold for UI elements, italics for system components, <angled brackets> for controls, and presents safety info as Warning, Caution, or Note."
7,Chunk,null,"Renishaw provides basic and extended training for AM250/AM400 system operation, requiring user course completion; support details and system info are outlined for reference."
8,Chunk,null,The system software version is displayed on the start screen; contact local Renishaw for support.
9,Chunk,null,"Operators must complete Renishaw training, adhere to safety measures, conduct risk assessments, and follow regulations for lasers, powders, gases, and waste to safely operate the AM250/AM400."
10,Chunk,null,Apply various safety stickers on electrical cabinets and system parts; wear laser eyewear during open-chamber laser maintenance.
11,Chunk,null,"During maintenance with the laser on and chamber door open, wear EN 207-compliant laser eyewear to prevent eye damage; only qualified personnel should perform maintenance, and avoid staring at the LED light on AM250/AM400 machines. Regularly check laser warning labels for compliance with IEC 60825 standards."
12,Chunk,null,"Laser classifications range from Class 2 (safe due to blink response) to Class 4 (high risk of eye and skin injury, fire hazard), with AM250 systems featuring specific warning labels inside the chamber."
13,Chunk,null,Laser and Class 4 labels must be strategically placed on the device for safety and regulatory compliance.
14,Chunk,null,"Class 4 and 3R laser warning labels are strategically placed on the AM400 system, including top covers, doors, and chamber interiors, ensuring visibility and compliance."
15,Chunk,null,Add various Class 4 and compliance labels to specific locations on the device for safety and regulatory purposes.
16,Chunk,null,Class 4 protective housing labels are positioned at various locations on the optical module under the top cover.
17,Chunk,null,"The Renishaw AM250/AM400 ensures safe operation under normal conditions, adheres to European and UL 508A standards, requires emergency stop knowledge, operator training, and proper waste disposal."
18,Chunk,null,"Handle metal powder with full PPE, including gloves, eye protection, respirator, and non-static clothing, adhering to ATEX, DSEAR, and local hazardous waste disposal regulations."
19,Chunk,null,"Avoid dust clouds from metallic powder, use only specified Renishaw or validated metal powders for AM250/AM400, ensuring proper maintenance and safety measures to prevent liability issues."
20,Chunk,null,"Non-Renishaw metal powders, like ishaw, may cause laser emissions exceeding glass panel specs, requiring risk assessment; improper use includes unauthorized materials, component alterations, and ignoring safety protocols, with metal powders needing careful handling due to oxidation risks."
21,Chunk,null,"Metal powders pose inhalation, skin, and eye hazards, are highly flammable, and require specific fire-fighting methods outlined in Safety Data Sheets."
22,Chunk,null,"Always call emergency services for fires, handle metal powders carefully to avoid ignition, store in sealed containers away from hazards, and clean spills promptly with non-sparking tools."
23,Chunk,null,"Ensure compliance with safety protocols for metal powder handling, storage, and emergency response, including understanding hazards, adhering to codes, isolating flammables, controlling access, training personnel, and maintaining SOPs."
24,Chunk,null,"Regularly update risk assessments for Renishaw AM250/AM400, maintain an Explosion Prevention Document per local laws or standards, and ensure safe maintenance practices to prevent injuries."
25,Chunk,null,"Isolate power and argon, cool equipment, ensure safe hoisting, cordon off area, use Renishaw parts, and follow IEE standards for electrical work to prevent injury."
26,Chunk,null,"Maintenance technicians face hazards from latent energy sources, unexpected malfunctions, and fire/explosion risks due to metal powders, requiring strict safety measures."
27,Chunk,null,"To prevent fires/explosions in zones with combustible dust, ensure equipment bonding, use anti-static attire, and follow NFPA 484 guidelines for authorized tools and personnel."
28,Chunk,null,"Renishaw's AM250/AM400 machines have dimensions of 853x1700x2115 mm, a build chamber of 250x250x300 mm, and require specific power, data, and gas connections, with technical specs subject to change."
29,Chunk,null,"AM250/AM400 requires specific pneumatic setup, argon quality, and noise control; oxygen monitoring is advised; transport and laser maintenance must follow Renishaw guidelines."
30,Chunk,null,"Renishaw system maintenance typically avoids Class 2 laser exposure, but extreme cases require Class 4 safety measures, including secured rooms, warnings, and PPE, plus fire precautions and metal powder handling guidance."
31,Chunk,null,"Use static-dissipative overalls and follow strict handling, storage, and cleanup protocols for combustible metal powders; monitor inert gas levels to prevent low oxygen hazards."
32,Chunk,null,"Renishaw advises using argon gas for AM250/AM400 builds, warns of suffocation risks, and recommends proper ventilation, cylinder securing, and precise build plate preparation to avoid failed builds."
33,Chunk,null,"Remove contaminants with ethanol or isopropanol, measure build plate thickness accurately to avoid damage, and consult appendices for drawings and part numbers; system features include process chamber, laser access, and safety controls."
34,Chunk,null,"The document details the components of the left-hand user access door for AM250/AM400 systems, including safe change filters, isolation valves, and sensors."
35,Chunk,null,"The AM250/AM400 system includes labeled valves, argon and gas components, and three access areas with keys for trained personnel, emphasizing locked electrical enclosures for safety."
36,Chunk,null,"Valves V4-V5, F1-F2, S1-S2, and IV1 manage filter isolation and dosing in a system with Figures 39-45 detailing components."
37,Chunk,null,"The document illustrates various system valves and filters, including silo fill, overflow, safe change filter isolation, and sieve valves, each designated with specific labels."
